step,date_main,price_main,action_main,action_name_main,prob_hold_main,prob_buy_main,prob_sell_main,confidence_main,value_estimate_main,portfolio_value_main,cash_main,position_value_main,position_quantity_main,rsi_14_main,macd_main,sma_20_main,sma_50_main,bb_position_main,date_other,price_other,action_other,action_name_other,prob_hold_other,prob_buy_other,prob_sell_other,confidence_other,value_estimate_other,portfolio_value_other,cash_other,position_value_other,position_quantity_other,rsi_14_other,macd_other,sma_20_other,sma_50_other,bb_position_other,disagreement,price_change_next_5d,main_was_right
34,2024-09-23,63329.80078125,1,BUY,0.32998124,0.43041736,0.23960139,0.43041736,0.06257534772157669,102343.92036975815,68011.66846303674,34332.25190672141,0.5394021560064908,75.61660188361378,1152.2720943209715,59180.86171875,59389.474296875,0.828148915879076,2024-09-23,63329.80078125,2,SELL,0.30899757,0.32545274,0.36554968,0.36554968,0.21157746016979218,99785.56197535778,99785.56197535778,0.0,0.0,75.61660188361378,1152.2720943209715,59180.86171875,59389.474296875,0.828148915879076,True,0.04038932105731963,True
35,2024-09-24,64301.96875,1,BUY,0.32629013,0.43138823,0.24232161,0.43138823,0.08597464114427567,102171.89954390452,68011.66846303674,34160.231080867794,0.5394021560064908,76.27722474107453,1291.8161973199385,59497.383203125,59595.68453125,0.8590883840615966,2024-09-24,64301.96875,2,SELL,0.31950888,0.32378703,0.35670406,0.35670406,0.2582569718360901,99785.56197535778,99785.56197535778,0.0,0.0,76.27722474107453,1291.8161973199385,59497.383203125,59595.68453125,0.8590883840615966,True,0.020735538326732694,True
36,2024-09-25,63143.14453125,0,HOLD,0.39320397,0.38563782,0.22115822,0.39320397,-0.010580122470855713,102696.28904224874,68011.66846303674,34684.620579211994,0.5394021560064908,71.46067090929326,1293.982252620328,59846.516015625,59737.86109375,0.7465487590427008,2024-09-25,63143.14453125,2,SELL,0.3095262,0.28738722,0.40308657,0.40308657,-0.18209946155548096,99785.56197535778,99785.56197535778,0.0,0.0,71.46067090929326,1293.982252620328,59846.516015625,59737.86109375,0.7465487590427008,True,0.0029513175204280984,True
37,2024-09-26,65181.01953125,1,BUY,0.3838136,0.39719966,0.2189868,0.39719966,0.05048859864473343,102071.21676022245,68011.66846303674,34059.548297185705,0.5394021560064908,73.88426206125965,1443.4985950622795,60408.129296875,59940.932265625,0.8680760505480557,2024-09-26,65181.01953125,2,SELL,0.29671243,0.2804896,0.4227979,0.4227979,-0.1616269201040268,99785.56197535778,99785.56197535778,0.0,0.0,73.88426206125965,1443.4985950622795,60408.129296875,59940.932265625,0.8680760505480557,True,-0.06664534783269738,False
38,2024-09-27,65790.6640625,1,BUY,0.37992084,0.39895812,0.22112103,0.39895812,0.049302347004413605,103170.45092889416,68011.66846303674,35158.78246585743,0.5394021560064908,70.17937903747818,1592.8235143394486,60990.678125,60022.5428125,0.8871221465660504,2024-09-27,65790.6640625,2,SELL,0.31131402,0.2773481,0.41133785,0.41133785,-0.14076556265354156,99785.56197535778,99785.56197535778,0.0,0.0,70.17937903747818,1592.8235143394486,60990.678125,60022.5428125,0.8871221465660504,True,-0.07839834085502018,False
39,2024-09-28,65887.6484375,1,BUY,0.36228347,0.41482016,0.22289637,0.41482016,0.010216191411018372,103499.29450344799,68011.66846303674,35487.626040411255,0.5394021560064908,73.59954365735437,1699.4007828404792,61542.9822265625,60122.693515625,0.8712521385877624,2024-09-28,65887.6484375,2,SELL,0.31096435,0.26974756,0.41928813,0.41928813,-0.11151877045631409,99785.56197535778,99785.56197535778,0.0,0.0,73.59954365735437,1699.4007828404792,61542.9822265625,60122.693515625,0.8712521385877624,True,-0.07783319355545937,False
40,2024-09-29,65635.3046875,1,BUY,0.37054974,0.40304992,0.22640035,0.40304992,-0.03508172556757927,103551.60808442193,68011.66846303674,35539.939621385194,0.5394021560064908,77.12652889630438,1743.4051153374166,61973.770703125,60216.483359375,0.8202759789385698,2024-09-29,65635.3046875,2,SELL,0.30842564,0.26718408,0.42439035,0.42439035,-0.13989810645580292,99785.56197535778,99785.56197535778,0.0,0.0,77.12652889630438,1743.4051153374166,61973.770703125,60216.483359375,0.8202759789385698,True,-0.05435836920369286,False
41,2024-09-30,63329.5,0,HOLD,0.395017,0.38424128,0.22074169,0.395017,-0.17855507135391235,103415.49332161716,68011.66846303674,35403.82485858043,0.5394021560064908,69.44540228695331,1574.0747441844433,62257.81015625,60308.683671875,0.5998761182515807,2024-09-30,63329.5,2,SELL,0.30304193,0.29423678,0.40272126,0.40272126,-0.2728249430656433,99785.56197535778,99785.56197535778,0.0,0.0,69.44540228695331,1574.0747441844433,62257.81015625,60308.683671875,0.5998761182515807,True,-0.019573039124736513,True
42,2024-10-01,60837.0078125,0,HOLD,0.39693412,0.38480607,0.21825986,0.39693412,-0.40665367245674133,102171.73730184979,68011.66846303674,34160.06883881306,0.5394021560064908,51.945013767260825,1224.639039643691,62432.501953125,60338.333515625,0.33714617247052603,2024-10-01,60837.0078125,2,SELL,0.30768508,0.33071023,0.3616047,0.3616047,-0.3585869073867798,99785.56197535778,99785.56197535778,0.0,0.0,51.945013767260825,1224.639039643691,62432.501953125,60338.333515625,0.33714617247052603,True,0.032577955158616057,True
43,2024-10-02,60632.78515625,0,HOLD,0.39791852,0.38475817,0.21732333,0.39791852,-0.4032284915447235,100827.28164208296,68011.66846303674,32815.613179046224,0.5394021560064908,45.91552875721931,920.6173607767778,62557.790625,60338.797890625,0.28849402617158026,2024-10-02,60632.78515625,2,SELL,0.31087428,0.34106946,0.3480563,0.3480563,-0.31806784868240356,99785.56197535778,99785.56197535778,0.0,0.0,45.91552875721931,920.6173607767778,62557.790625,60338.797890625,0.28849402617158026,True,0.026452273235788804,True
